id,customer_name,customer_code,created_at,updated_at
2,rgerg,gerer,2025-05-04 07:42:30,2025-05-04 07:42:30
3,Arma,1234,2025-05-04 07:48:56,2025-05-04 07:48:56
5,Fine,66666666,2025-05-04 08:23:54,2025-05-04 08:23:54
6,AY ESHEYYYYYYYY,777,2025-05-04 08:29:16,2025-05-04 08:29:16
7,rgerg,2222,2025-05-04 09:35:56,2025-05-04 09:35:56
8,Sanita,gerer,2025-05-04 15:44:39,2025-05-04 15:44:39
9,Sanita,www,2025-05-04 16:16:34,2025-05-04 16:16:34
10,Nestlee,821,2025-05-04 16:24:27,2025-05-04 16:24:27
11,Arma,821,2025-05-04 16:25:35,2025-05-04 16:25:35
12,Nestlee,234,2025-05-05 09:17:50,2025-05-05 09:17:50
13,Arma,rrr,2025-05-05 09:19:38,2025-05-05 09:19:38
14,Seniora,44444,2025-05-05 09:26:24,2025-05-05 09:26:24
15,Manaseer,55,2025-05-05 09:32:36,2025-05-05 09:32:36
16,Kessab,55,2025-05-05 09:36:07,2025-05-05 09:36:07
17,Coffee Maker,55,2025-05-05 09:38:12,2025-05-05 09:38:12
18,Sanita,44,2025-05-05 10:53:42,2025-05-05 10:53:42
19,Fine,44,2025-05-05 10:55:55,2025-05-05 10:55:55
20,Silva,33,2025-05-05 12:57:15,2025-05-05 12:57:15
21,Abo Tafesh,22,2025-05-05 13:02:59,2025-05-05 13:02:59
22,Arma,55,2025-05-05 13:59:58,2025-05-05 13:59:58
23,Nestlee,44,2025-05-05 14:02:47,2025-05-05 14:02:47
24,Arma,22,2025-05-05 16:40:28,2025-05-05 16:40:28
25,Cold Alex,88,2025-05-06 07:37:13,2025-05-06 07:37:13
26,Arma,33,2025-05-06 08:19:12,2025-05-06 08:19:12
27,Al Wazir,77,2025-05-06 08:21:16,2025-05-06 08:21:16
28,Nestlee,55,2025-05-06 08:24:47,2025-05-06 08:24:47
29,Arma,234,2025-05-06 09:37:52,2025-05-06 09:37:52
30,Arma,44,2025-05-06 09:47:14,2025-05-06 09:47:14
31,Seniora,44,2025-05-06 09:58:35,2025-05-06 09:58:35
32,Manaseer,88,2025-05-06 12:01:56,2025-05-06 12:01:56
33,fwefwef,wefefw,2025-05-06 13:13:03,2025-05-06 13:13:03
34,Fine,23,2025-05-07 08:02:49,2025-05-07 08:02:49
35,Cold Alex,23,2025-05-07 08:07:23,2025-05-07 08:07:23
36,Fine,444,2025-05-07 08:19:49,2025-05-07 08:19:49
37,Zaar,88,2025-05-07 16:40:15,2025-05-07 16:40:15
38,Tazweed,99,2025-05-07 16:42:06,2025-05-07 16:42:06
39,http://localhost:7004/,111,2025-05-07 16:44:09,2025-05-07 16:44:09
40,Nestlee,23,2025-05-09 14:40:55,2025-05-09 14:40:55
41,Cold Alex,55,2025-05-09 16:15:58,2025-05-09 16:15:58
42,Arma,23,2025-05-09 20:15:59,2025-05-09 20:15:59
43,Cold Alex,44,2025-05-11 09:52:02,2025-05-11 09:52:02
44,Seniora,55,2025-05-11 11:00:37,2025-05-11 11:00:37
45,test,23,2025-05-11 12:43:24,2025-05-11 12:43:24
46,dddd,ddd,2025-05-12 07:53:15,2025-05-12 07:53:15
47,Unilever Jordan,333333,2025-05-12 09:59:02,2025-05-12 09:59:02
48,Unilever Cypres,333333,2025-05-12 19:12:46,2025-05-12 19:12:46
49,Unilever eeeeeee,333333,2025-05-12 19:13:40,2025-05-12 19:13:40
50,Unilever qqqq,333333,2025-05-12 19:14:29,2025-05-12 19:14:29
51,Nestlee,88,2025-05-13 14:45:54,2025-05-13 14:45:54
52,Sanita,88,2025-05-13 14:59:33,2025-05-13 14:59:33
53,Sanita,3333,2025-05-13 16:13:00,2025-05-13 16:13:00
54,Unilever Egypt,333333,2025-05-13 16:27:34,2025-05-13 16:27:34
55,Molfix,23,2025-05-14 08:32:45,2025-05-14 08:32:45
56,Hendrix,23,2025-05-31 08:29:02,2025-05-31 08:29:02
57,B & G,23,2025-05-31 10:29:53,2025-05-31 10:29:53
58,Al Ameed,23,2025-05-31 10:31:46,2025-05-31 10:31:46
59,Star,11111,2025-06-02 12:24:35,2025-06-02 12:24:35
60,Molfix,55,2025-06-04 08:22:48,2025-06-04 08:22:48
