id,job_number,color_name,color_code,position
103,B52401,Cyan,NULL,0
104,B52401,Gold,NULL,1
109,B53104,Cyan,NULL,0
110,B53104,Yellow,NULL,1
111,B53104,Black,NULL,2
112,B53104,Magenta,NULL,3
119,B60202,Cyan,NULL,0
120,B60202,Magenta,NULL,1
121,B60202,Yellow,NULL,2
122,B60202,Black,NULL,3
123,B60202,Custom,NULL,4
132,B60102,Cyan,NULL,0
133,B60102,Magenta,NULL,1
142,B60201,Cyan,NULL,0
143,B60201,Magenta,NULL,1
144,B53101,Cyan,NULL,0
145,B53101,Magenta,NULL,1
146,B53101,Yellow,NULL,2
147,B60101,Cyan,NULL,0
148,B60101,Magenta,NULL,1
149,B60101,Yellow,NULL,2
150,B52502,Cyan,NULL,0
151,B52502,Magenta,NULL,1
152,B52502,Yellow,NULL,2
153,B52502,Black,NULL,3
154,B52502,376,NULL,4
169,B60403,Cyan,#00FFFF,0
170,B60403,Magenta,#FF00FF,1
184,B60402,Yellow,NULL,0
560,B60404,Cyan,NULL,0
561,B60404,Magenta,NULL,1
562,B60404,Yellow,NULL,2
563,B60404,Black,NULL,3
564,B60404,Silver,NULL,4
565,B60404,Magenta,NULL,5
566,B60404,Cyan,NULL,6
568,B60705,Cyan,NULL,0
572,B60704,Cyan,NULL,0
573,B60704,Magenta,NULL,1
574,B60704,Yellow,NULL,2
583,b60802,Cyan,NULL,0
584,b60802,Magenta,NULL,1
585,b60802,Yellow,NULL,2
644,b60803,Cyan,NULL,0
650,B60901,Cyan,NULL,0
652,B61001,Cyan,NULL,0
658,B61101,Cyan,NULL,0
688,B61002,Cyan,NULL,0
689,B61002,Magenta,NULL,1
690,B61002,Yellow,NULL,2
691,B61002,Black,NULL,3
692,B61002,Silver,NULL,4
693,B61201,Cyan,NULL,0
694,B61201,Magenta,NULL,1
695,B61201,Yellow,NULL,2
696,B61201,Black,NULL,3
698,B61301,Cyan,NULL,0
723,B61302,Cyan,#000000,0
726,B61303,Cyan,#000000,0
734,B61304,Cyan,#000000,0
744,B61306,Cyan,#000000,0
780,B61307,Cyan,#000000,0
827,B61502,Cyan,#000000,0
828,B61504,Cyan,#000000,0
829,B61504,Magenta,#000000,1
830,B61504,Yellow,#000000,2
852,B61602,Cyan,#000000,0
860,B61603,Cyan,#000000,0
902,B61606,Cyan,#000000,0
903,B61606,Magenta,#000000,1
904,B61606,Yellow,#000000,2
905,B61606,Black,#000000,3
906,B61606,Black FT,#000000,4
971,B61702,Cyan,#000000,0
972,B61503,Cyan,#000000,0
973,B61801,Cyan,#000000,0
979,b61901,Cyan,#000000,0
